datetime,hour,predicted_visitors
2024-01-01 00:00:00,0,97.99260588558336
2024-01-01 01:00:00,1,100.11883536299021
2024-01-01 02:00:00,2,100.14814091854578
2024-01-01 03:00:00,3,100.25528377568864
2024-01-01 04:00:00,4,101.03819697892845
2024-01-01 05:00:00,5,103.85508974138887
2024-01-01 06:00:00,6,103.80005348244084
2024-01-01 07:00:00,7,104.3433886831878
2024-01-01 08:00:00,8,104.13949979429891
2024-01-01 09:00:00,9,107.27396853832914
2024-01-01 10:00:00,10,106.71200883136946
2024-01-01 11:00:00,11,106.71200883136946
2024-01-01 12:00:00,12,107.2193897837504
2024-01-01 13:00:00,13,107.2193897837504
2024-01-01 14:00:00,14,106.25161200597263
2024-01-01 15:00:00,15,107.38112162598223
2024-01-01 16:00:00,16,109.62102786788847
2024-01-01 17:00:00,17,109.62102786788847
2024-01-01 18:00:00,18,105.79011467941378
2024-01-01 19:00:00,19,105.76678134608044
2024-01-01 20:00:00,20,104.77126455573858
2024-01-01 21:00:00,21,104.30418543115945
2024-01-01 22:00:00,22,103.62964574861978
2024-01-01 23:00:00,23,103.69320130417535
2024-01-02 00:00:00,0,96.80862651120836
2024-01-02 01:00:00,1,98.88957821083743
2024-01-02 02:00:00,2,98.83783675784596
2024-01-02 03:00:00,3,98.94497961498882
2024-01-02 04:00:00,4,99.5783372626731
2024-01-02 05:00:00,5,102.70145940577466
2024-01-02 06:00:00,6,102.64642314682662
2024-01-02 07:00:00,7,103.2905583475736
2024-01-02 08:00:00,8,103.2905583475736
2024-01-02 09:00:00,9,106.73494931382606
2024-01-02 10:00:00,10,106.17298960686635
2024-01-02 11:00:00,11,106.17298960686635
2024-01-02 12:00:00,12,106.68037055924731
2024-01-02 13:00:00,13,106.68037055924731
2024-01-02 14:00:00,14,105.71259278146952
2024-01-02 15:00:00,15,106.84210240147914
2024-01-02 16:00:00,16,109.08200864338538
2024-01-02 17:00:00,17,109.08200864338538
2024-01-02 18:00:00,18,104.94117323268846
2024-01-02 19:00:00,19,104.91783989935512
2024-01-02 20:00:00,20,103.439109601388
2024-01-02 21:00:00,21,103.37119714347554
2024-01-02 22:00:00,22,102.69665746093585
2024-01-02 23:00:00,23,102.76021301649142
2024-01-03 00:00:00,0,96.74390804838463
2024-01-03 01:00:00,1,98.87719308134704
2024-01-03 02:00:00,2,98.82545162835558
2024-01-03 03:00:00,3,98.93259448549844
2024-01-03 04:00:00,4,99.56595213318272
2024-01-03 05:00:00,5,102.63258760506078
2024-01-03 06:00:00,6,102.57755134611274
2024-01-03 07:00:00,7,103.2216865468597
2024-01-03 08:00:00,8,103.2216865468597
2024-01-03 09:00:00,9,106.6031451822851
2024-01-03 10:00:00,10,106.0411854753254
2024-01-03 11:00:00,11,106.0411854753254
2024-01-03 12:00:00,12,106.54856642770636
2024-01-03 13:00:00,13,106.54856642770636
2024-01-03 14:00:00,14,105.58078864992856
2024-01-03 15:00:00,15,106.71029826993818
2024-01-03 16:00:00,16,108.9502045118444
2024-01-03 17:00:00,17,108.9502045118444
2024-01-03 18:00:00,18,104.87230143197456
2024-01-03 19:00:00,19,104.84896809864124
2024-01-03 20:00:00,20,103.27101018618333
2024-01-03 21:00:00,21,103.20309772827086
2024-01-03 22:00:00,22,102.52855804573117
2024-01-03 23:00:00,23,102.59211360128674
2024-01-04 00:00:00,0,96.30554012300057
2024-01-04 01:00:00,1,98.41828974692757
2024-01-04 02:00:00,2,98.36654829393612
2024-01-04 03:00:00,3,98.47369115107898
2024-01-04 04:00:00,4,99.16327102098548
2024-01-04 05:00:00,5,102.3856207785778
2024-01-04 06:00:00,6,102.26067711222238
2024-01-04 07:00:00,7,102.87391972037673
2024-01-04 08:00:00,8,102.87391972037673
2024-01-04 09:00:00,9,106.43380798543177
2024-01-04 10:00:00,10,105.87184827847206
2024-01-04 11:00:00,11,105.87184827847206
2024-01-04 12:00:00,12,106.37922923085301
2024-01-04 13:00:00,13,106.37922923085301
2024-01-04 14:00:00,14,105.41145145307523
2024-01-04 15:00:00,15,106.54096107308484
2024-01-04 16:00:00,16,108.78086731499108
2024-01-04 17:00:00,17,108.78086731499108
2024-01-04 18:00:00,18,104.52453460549161
2024-01-04 19:00:00,19,104.50120127215827
2024-01-04 20:00:00,20,102.92324335970036
2024-01-04 21:00:00,21,102.85533090178792
2024-01-04 22:00:00,22,102.18079121924822
2024-01-04 23:00:00,23,102.24434677480377
2024-01-05 00:00:00,0,95.53042107538153
2024-01-05 01:00:00,1,97.64317069930853
2024-01-05 02:00:00,2,97.59142924631706
2024-01-05 03:00:00,3,97.69857210345994
2024-01-05 04:00:00,4,98.38815197336643
2024-01-05 05:00:00,5,101.59050173095876
2024-01-05 06:00:00,6,101.46555806460333
